NUM,NAME,SCORE,ABV,DES,TASTE,IMG
11,SMIRNOFF RASPBERRY,2.82,35,This flavored vodka uses the classic grain-based No. 21 vodka as its base. It is infused with natural raspberry flavors. Bottled at 35% ABV,"{""grain"":10,""earthy"":0,""spicy"":21,""herbal"":0,""oily"":0,""chemical"":55,""rich"":10,""sweet"":45,""mineral"":0,""neutral"":0,""harsh"":25,""bitter"":0,""fruity"":95,""floral"":45}","https://ip-distiller.imgix.net/images/spirits/5cbe41d0-944d-0135-4421-12ab75e59a0a/smirnoff_raspberry_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
12,PINNACLE WHIPPED,3.35,30,none,none,"https://ip-distiller.imgix.net/images/spirits/e597f950-1c5e-0137-1ee4-321b71432c95/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
13,GREY GOOSE VX,4.29,40,"Released in 2014, VX is a blend of 95% Grey Goose Vodka and 5% cognac. This product is designed to be enjoyed on the rocks or on its own.",none,"https://ip-distiller.imgix.net/images/spirits/e7bc4820-7ca4-0135-6bbc-4ad6eec0bd48/grey_goose_vx_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
14,DEEP EDDY CRANBERRY,2.75,35,"Deep Eddy is a column-distilled corn-based vodka. Released in 2014, this flavored vodka is the fourth vodka from Deep Eddy. Made with real New England cranberries and pure cane sugar. Deep Eddy Distillery is located in Buda, Texas just outside Austin where the brand's headquarters are located. Bottled at 35% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/01828fb0-c7e1-0135-aaf9-1af572426692/deep_eddy_cranberry_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
15,CÎROC PINEAPPLE,3.35,35,"First launched in 2014, this flavored vodka uses CÎROC's standard grape-based vodka and adds pineapple and other natural flavors. Bottled at 35% or 37.5% ABV depending on your location.",none,"https://ip-distiller.imgix.net/images/spirits/f9af12c0-91d7-0135-8f11-12bc6d206d07/ciroc_pineapple_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
16,CÎROC APPLE,3.39,35,"Launched in 2015, this flavored vodka uses CÎROC's standard grape-based vodka and adds apple and other natural flavors. Bottled at 35% or 37.5% ABV depending on your location.",none,"https://ip-distiller.imgix.net/images/spirits/f9b06970-91d3-0135-737b-32915ebc5a24/ciroc_apple_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
17,ABSOLUT PEARS,3.04,40,"First introduced in 2007, this vodka is made using Absolut's standard winter-wheat-based vodka with natural pear flavor. No sugar added. Bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/aa6127d0-8d26-0135-6d42-2e3c5766337b/absolut_pears_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
18,GREY GOOSE L'ORANGE,3,40,L'Orange from Grey Goose is made using real oranges. Its essential oils are added to Grey Goose's standard winter wheat-based vodka.,none,"https://ip-distiller.imgix.net/images/spirits/2cdfff50-7ca3-0135-901f-3e0ce8badc98/grey_goose_l-orange_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
19,DEEP EDDY LEMON,3.88,35,"Deep Eddy Lemon Vodka is created using Deep Eddy Vodka as a base, then mixed with real lemon juice. It is lightly sweetened with cane sugar. Deep Eddy Distillery is located in Buda, Texas just outside Austin where the brand's headquarters are located.",none,"https://ip-distiller.imgix.net/images/spirits/8613bea0-8ee1-0137-85a3-2e2c5f893df7/deep_eddy_lemon_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
20,CÎROC FRENCH VANILLA,3.56,35,This flavored vodka first launched in 2017. It uses Cîroc's standard grape-based vodka and adds a blend of vanilla flavors. Bottled at 35% or 37.5% ABV depending on your location.,none,"https://ip-distiller.imgix.net/images/spirits/641f4cb0-91d2-0135-7379-32915ebc5a24/ciroc_french_vanilla_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
