,순서,상품명,별점,도수,설명,맛과향,이미지
10,11,CHOPIN POTATO VODKA,4.16,40.0,"Chopin Potato Vodka was first launched in 1992 and was first introduced to the US in 1997. This family-owned brand produces single ingredient vodkas with no flavored vodkas in their portfolio. Their 100% potato vodka is made mostly from potatoes sourced within 25 miles of the distillery, some of which they grow themselves. They are cooked whole with their skins prior to fermentation. The vodka is distilled in a copper column-still. Bottled at 40% ABV.","{""grain"":0,""earthy"":80,""spicy"":30,""herbal"":0,""oily"":20,""chemical"":0,""rich"":80,""sweet"":25,""mineral"":0,""neutral"":50,""harsh"":0,""bitter"":30,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/9129cbb0-6d9a-0135-f55b-16167c2d2409/chopin_potato_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
11,12,CÎROC VODKA,3.64,40.0,"Created by Jean-Sébastien Robicquet, CÎROC Vodka is made from 100% French grapes, primarily ugni blanc. It was first launched in the US in 2003.",none,"https://ip-distiller.imgix.net/images/spirits/121f6ac0-6da1-0135-f561-16167c2d2409/ciroc_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
12,13,NEW AMSTERDAM VODKA,2.9,40.0,"First launched in 2011, New Amsterdam Vodka is a brand of E & J Gallo in Modesto, California. Their vodka is grain based and bottled at 40% ABV.","{""grain"":50,""earthy"":15,""spicy"":15,""herbal"":0,""oily"":50,""chemical"":0,""rich"":40,""sweet"":55,""mineral"":0,""neutral"":70,""harsh"":15,""bitter"":15,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/b0bd5e70-8d03-0135-c329-2a6c85e607e8/new_amsterdam_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
13,14,FINLANDIA VODKA,3.42,40.0,"Finlandia first hit the market in 1970, the first Scandinavian vodka in the US. It is distilled from six-row barley and uses glacial spring water to bring it to proof. The vodka is not filtered.",none,"https://ip-distiller.imgix.net/images/spirits/b177be10-77d9-0135-bf6a-7e5fdf6e1156/finlandia_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
14,15,BELUGA NOBLE RUSSIAN VODKA,3.9,40.0,"Distilled at the Mariinsk Distillery in Siberia, this vodka is distilled from grain and water from a 300-meter Siberian deep well. The vodka rests from 30-90 days before bottling. Please note that additives of honey, oat extract, and milk thistle are including in the bottling.",none,"https://ip-distiller.imgix.net/images/spirits/3a1a4e80-6d80-0135-39a7-3ad3b1d8a20a/beluga_noble_russian_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
15,16,SVEDKA VODKA,2.74,40.0,"Svedka--a mashed up word taking ""svenska"" meaning ""Swedish"" and vodka--was first introduced in 1998. It is column-distilled from Swedish winter wheat. Svedka is now owned by Constellation Brands based in the US.","{""grain"":30,""earthy"":30,""spicy"":35,""herbal"":0,""oily"":0,""chemical"":20,""rich"":35,""sweet"":20,""mineral"":0,""neutral"":85,""harsh"":20,""bitter"":30,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/531cb460-83c1-0135-7ba4-5649f137d059/svedka_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
16,17,SOBIESKI VODKA,3.5,40.0,This vodka is made from Polish Dankowski rye using continuous column distillation. Named after the Polish King Jan III Sobieski who reigned from 1674 until his death in 1696. Bottled at 40% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/b4f66c70-8867-0135-bee3-0e6cfe74208a/sobiesky_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
17,18,LUKSUSOWA VODKA,4.09,40.0,"Luksusowa, Polish for ""luxury"", is a vodka distilled from potatoes. The vodka is copper column-distilled and rectified before adding water to bring to 40% ABV. The vodka is filtered for clarity.","{""grain"":0,""earthy"":40,""spicy"":10,""herbal"":0,""oily"":30,""chemical"":0,""rich"":55,""sweet"":20,""mineral"":0,""neutral"":45,""harsh"":25,""bitter"":35,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/2cfc64d0-8311-0135-90a2-1a05d89bc99e/lukusowa_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
18,19,STOLICHNAYA ELIT,4.5,40.0,"This ultra premium vodka first hit the market in 2003. Stoli Elit is made using ""freeze filtration"" inspired by the old Russian tradition of leaving casks outside in plummeting winter conditions. This grain based (wheat and rye) vodka is bottled at 40% ABV.","{""grain"":40,""earthy"":20,""spicy"":30,""herbal"":10,""oily"":10,""chemical"":0,""rich"":30,""sweet"":40,""mineral"":15,""neutral"":70,""harsh"":0,""bitter"":15,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/66290730-5d2c-0135-880e-5657afde1505/stolichnaya_elit_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
19,20,KIRKLAND AMERICAN VODKA,3.78,40.0,"Kirkland American Vodka is the Costco label vodka. It's ""distilled six times"" from an undisclosed base or distillery.",none,"https://ip-distiller.imgix.net/images/spirits/207efed0-a4d0-0135-933f-16c86895c577/kirkland_signature_american_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
