,순서,상품명,별점,도수,설명,맛과향,이미지
40,41,PURITY VODKA ULTRA 34 PREMIUM,3.93,40.0,"Purity is made from organic barley and winter wheat. What they make at their distillery in Sweden is the heart of the vodka. There they use a 600-liter copper pot-still which is attached to two column stills, each with eight plates. The mash of winter wheat and barley is distilled through twice creating a spirit which doesn't need filtration. This is blended with an organic column-distilled wheat distillate and two types of water: de-ionized water and mineral-rich water. Bottled at 40% ABV, this vodka is certified organic in the US and the EU.","{""grain"":70,""earthy"":0,""spicy"":60,""herbal"":0,""oily"":20,""chemical"":0,""rich"":35,""sweet"":55,""mineral"":30,""neutral"":50,""harsh"":15,""bitter"":40,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/da5a8700-8916-0135-4104-7aaa98deef23/purity_34_signature_edition_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
41,42,EFFEN VODKA,3.35,40.0,EFFEN is a vodka distilled from French wheat using water sourced from a local reservoir. It is distilled in a stainless-steel continuous column-still and filtered using active charcoal filtration.,"{""grain"":65,""earthy"":5,""spicy"":0,""herbal"":0,""oily"":15,""chemical"":10,""rich"":45,""sweet"":65,""mineral"":5,""neutral"":55,""harsh"":0,""bitter"":0,""fruity"":5,""floral"":10}","https://ip-distiller.imgix.net/images/spirits/f46daa00-77c5-0135-4264-72f5d37c75b1/effen_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
42,43,SMITHWORKS AMERICAN MADE VODKA,3.72,40.0,"This American-made vodka is distilled from corn sourced from Kansas, Missouri, and Oklahoma. Water from Lake Fort Smith in Arkansas is added to bring the vodka to proof. It is charcoal filtered and brought down to 40% ABV.","{""grain"":35,""earthy"":25,""spicy"":35,""herbal"":0,""oily"":20,""chemical"":10,""rich"":45,""sweet"":30,""mineral"":0,""neutral"":85,""harsh"":10,""bitter"":25,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/4fd91b70-61a4-0135-002d-7a18bddc7bf4/smithworks_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
43,44,BLUE ICE AMERICAN POTATO VODKA,4.32,40.0,"Blue Ice American Potato Vodka is produced in Idaho using russet potatoes. It takes nearly 10 pounds of potatoes to make one bottle of Blue Ice. The vodka is filtered five times, through a filter press, charcoal, travertine, crystal or garnet and submicron.",none,"https://ip-distiller.imgix.net/images/spirits/1f71a000-8edf-0137-85a1-2e2c5f893df7/blue_ice_american_potato_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
44,45,SMIRNOFF BLUE 100 PROOF,2.65,50.0,"Made just like the classic Red No. 21 vodka, but bottled at higher proof. It is distilled via continuous distillation and made from grain. It is charcoal filtered and bottled at 50% ABV. It is known in some markets and travel retail as ""Export Strength"" or ""No. 57 Export Strength"".","{""grain"":60,""earthy"":10,""spicy"":35,""herbal"":0,""oily"":30,""chemical"":0,""rich"":35,""sweet"":40,""mineral"":10,""neutral"":75,""harsh"":20,""bitter"":10,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/f1e542c0-88f4-0135-40f1-7aaa98deef23/smirnoff_blue_100_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
45,46,MOSKOVSKAYA VODKA ORIGINAL,2.98,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/4acf8e10-0386-0137-0718-322f52c7b759/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
46,47,FINLANDIA 101,3.5,50.5,This is a higher-proof version of Finlandia's standard vodka. It is distilled from six-row barley and uses glacial spring water to bring it to proof of 101 (50.5% ABV).,none,"https://ip-distiller.imgix.net/images/spirits/c4a56430-9294-0135-c975-72ae5046e220/finlandia_101_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
47,48,RAIN VODKA,4.13,40.0,"Rain is a vodka which is distilled from corn. Pure limestone water is used in its production. Bottled at 40% ABV. Its bottle states ""vodka with natural flavors"".",none,"https://ip-distiller.imgix.net/images/spirits/720068e0-890e-0135-4101-7aaa98deef23/rain_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
48,49,"PAU ""MAUI"" VODKA",3.67,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/a2ac9da0-0ad4-0137-276c-126404f19d6d/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
49,50,IMPERIA RUSSIAN STANDARD,3.91,40.0,Imperia is distilled in St. Petersburg and is a part of the Russian Standard vodka line. The vodka is distilled from 100% Russian winter wheat. It is filtered through quartz crystal sourced from the Ural Mountains. The vodka rests for 72 hours prior to bottling.,none,"https://ip-distiller.imgix.net/images/spirits/9e7a22e0-82e4-0135-b0c3-6654d75178dd/imperia_russian_standard_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
50,51,CHOPIN RYE VODKA,4.23,40.0,Introduced in 2011 as the second extension in the Chopin portfolio. It is made from 100% golden rye grown in the Podlasie countryside in eastern Poland. Distilled in a copper column-still.,"{""grain"":50,""earthy"":30,""spicy"":85,""herbal"":15,""oily"":25,""chemical"":0,""rich"":35,""sweet"":25,""mineral"":15,""neutral"":80,""harsh"":10,""bitter"":25,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/2a48fad0-6d9c-0135-f55d-16167c2d2409/chopin_rye_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
51,52,CASTLE & KEY RESTORATION RELEASE VODKA,3.91,40.0,"Castle & Key Restoration Release Vodka is made with one of three mash bills (selection of grains), indicated on each bottle. These mash bills form the base for the brand's upcoming bourbon and rye whiskeys. One is made with 73% white corn, 10% rye, 17% malted barley. Another is made with 73% white corn, 10% wheat, and 17% malted barley. And finally, one is made with 17% yellow corn, 63% rye, and 20% malted barley. The limited edition vodka is bottled at 80 proof and available at the distillery and at select Kentucky and Tennessee retailers.",none,"https://ip-distiller.imgix.net/images/spirits/c50155b0-a33d-0136-ee3f-72306b5e27a7/castle_key_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
52,53,CRYSTAL HEAD AURORA VODKA,3.66,40.0,"Crystal Head Aurora is the luxury release of Crystal Head Vodka, a brand owned by noted ghostbuster, Dan Aykroyd. The grain used here is English wheat rather than the peaches and creamed corn variety used in its original version. After distillation, the vodka is filtered seven times with three of the runs through Herkimer quartz ""diamonds."" The packaging mimics the light phenomenon aurora borealis.","{""grain"":50,""earthy"":0,""spicy"":65,""herbal"":55,""oily"":5,""chemical"":15,""rich"":5,""sweet"":50,""mineral"":0,""neutral"":35,""harsh"":20,""bitter"":0,""fruity"":0,""floral"":23}","https://ip-distiller.imgix.net/images/spirits/79684000-88fc-0135-40f6-7aaa98deef23/crystal_head_aurora_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
53,54,BELVEDERE UNFILTERED,4.48,40.0,"Launched in 2010 in the US, Unfiltered is distilled from 100% Polish Dankowskie Diamond rye. It is distilled using a four column-still process. The rye used comes from a single-estate and is ""Baker's grade"". Additionally, as the name suggests, it is not filtered. Bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/25195e30-6d92-0135-f556-16167c2d2409/belvedere_unfiltered_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
54,55,BELUGA TRANSATLANTIC RACING SPECIAL EDITION VODKA,4.43,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/b00f2b30-f36c-0137-3350-3e7179e7060a/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
55,56,THREE OLIVES VODKA,2.68,40.0,"Made in the United Kingdom from British wheat, this vodka is the ""naked"", or no flavor added offering from Three Olives. It undergoes a quadruple distillation and filtration process before bottling. It is bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/1619a8d0-7bcf-0136-ae03-46698960856d/three_olives_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
56,57,BELVEDERE SINGLE ESTATE RYE: LAKE BARTĘŻEK,4.43,40.0,"First announced in fall 2017, this single-estate vodka gets all of its rye from a farm on the lakeside village of Lake Bartężek in northeastern Poland. Diamond Dankowskie rye is grown and harvested here for Belvedere. This vodka is intended to explore the idea of terroir and joins their other single-estate rye, Smogóry Forest, in this endeavor. Expected release for both vodkas to occur in early 2018.","{""grain"":20,""earthy"":35,""spicy"":55,""herbal"":15,""oily"":10,""chemical"":0,""rich"":70,""sweet"":20,""mineral"":0,""neutral"":75,""harsh"":0,""bitter"":20,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/03ae2ed0-8f83-0135-0258-7671a20a8f65/belvedere_single_estate_rye_lake_bartezek_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
57,58,ERISTOFF VODKA,2.25,40.0,"Eristoff Vodka was first produced in the 19th century with the original recipe dating back to 1806. Named after the Eristoff family who ruled the area dubbed ""Land of the Wolf"", a wolf adorns the bottle. This vodka is 100% grain-based and after distillation it is brought to proof using demineralized water. It is charcoal-filtered and bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/60b58820-77cb-0135-4266-72f5d37c75b1/eristoff_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
58,59,BOYD & BLAIR POTATO VODKA,4.33,40.0,"Boyd & Blair is made from 100% Pennsylvanian potatoes. The vodka is triple-batch distilled in a 1200-liter copper hybrid still. The vodka is filled, waxed, and corked by hand.","{""grain"":0,""earthy"":0,""spicy"":0,""herbal"":0,""oily"":20,""chemical"":30,""rich"":50,""sweet"":45,""mineral"":55,""neutral"":10,""harsh"":10,""bitter"":0,""fruity"":55,""floral"":10}","https://ip-distiller.imgix.net/images/spirits/72720ac0-6d95-0135-f559-16167c2d2409/boyd_and_blair_potato_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
59,60,KHORTYTSA PLATINUM VODKA,3.38,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/473d3e00-2992-0137-de0f-1ef6b9fe211a/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
60,61,DRIPPING SPRINGS VODKA,4.28,40.0,This vodka is distilled from Midwestern non-GMO corn and is gluten free. It is also certified Kosher by the Houston Kashruth Association. It is filtered through Swedish activated charcoal and bottled at 40% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/213dbad0-14dd-0136-ee68-7e729f4fa134/dripping_springs_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
61,62,FRÏS VODKA,3.78,40.0,FRÏS Vodka is pronounced “frees” and its name is meant to evoke the brand's unique and patented Freeze Filtered Process. The details of this procedure are not readily defined but the brand does boast a pure wheat base. Distilled in Denmark and blended with purified water before bottling at 80 proof.,"{""grain"":35,""earthy"":5,""spicy"":0,""herbal"":0,""oily"":20,""chemical"":45,""rich"":55,""sweet"":20,""mineral"":40,""neutral"":80,""harsh"":0,""bitter"":0,""fruity"":0,""floral"":10}","https://ip-distiller.imgix.net/images/spirits/a8e4fde0-cbc4-0135-0faa-36db0fc783b6/fris_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
62,63,BLACK COW PURE MILK VODKA,4.08,40.0,"Located in West Dorset, England; Black Cow is the creation of dairy farmer Jason Barber. The milk from his grass-grazing dairy cows is used in its production. More specifically, it is the whey from the cow's milk to which yeast is added to ferment into a ""beer"" (the curds are used to create cheddar cheese). This vodka is triple filtered and bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/2a7a7d70-b438-0135-5b4f-562993ef1c86/black_cow_pure_milk_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
63,64,BARR HILL VODKA,4.44,40.0,This Vermont-based vodka is distilled from raw honey. The honey is cold-fermented for three weeks before distillation is done in custom-made stills. The vodka bottle is sealed with beeswax and comes in at 80 proof. Sold in 375ml and 750ml sized bottles.,none,"https://ip-distiller.imgix.net/images/spirits/174e34f0-9e73-0135-7bf0-12b9e776c81c/barr_hill_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
64,65,BELVEDERE SINGLE ESTATE RYE: SMOGÓRY FOREST,4.06,40.0,"First announced in fall 2017 during London Cocktail Week, this single-estate vodka gets all of its rye from a farm in the village of Smogóry Forest in western Poland. Diamond Dankowskie rye is grown and harvested here for Belvedere. This vodka is intended to explore the idea of terroir and joins their other single-estate rye, Lake Bartężek, in this endeavor. Expected release for both vodkas to occur in early 2018.","{""grain"":40,""earthy"":10,""spicy"":65,""herbal"":15,""oily"":0,""chemical"":0,""rich"":40,""sweet"":0,""mineral"":0,""neutral"":75,""harsh"":0,""bitter"":0,""fruity"":0,""floral"":10}","https://ip-distiller.imgix.net/images/spirits/844a18b0-8f83-0135-24a0-6edba790e46c/belvedere_single_estate_rye_smogory_forest_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
65,66,ICEBERG VODKA,2.69,40.0,"Iceberg Vodka is an entirely Canadian production. Icebergs are harvested annually as they break off from Greenland and head south. The water is melted and used as the water which brings the vodka down to proof. The vodka itself is made from Ontario sweet corn and distilled in St. John, Newfoundland.",none,"https://ip-distiller.imgix.net/images/spirits/3e5a0680-82e2-0135-3367-2630ced4beeb/iceberg_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
66,67,HIGH WEST 7000' VODKA,3.92,40.0,"High West is perhaps better known for their rye whiskey releases, but they do produce a vodka. They consider this an ""oat-flavored"" vodka. They distill 85% oats along with 15% malted barley. They then blend that with a base vodka made from wheat and corn. The vodka is not chill-filtered or carbon treated. 7000' is the exact elevation of their bar at the distillery in Park City, Utah.",none,"https://ip-distiller.imgix.net/images/spirits/2bbd3750-82e0-0135-b0be-6654d75178dd/high_west_7000_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
67,68,360 VODKA,3.53,40.0,"Made in Missouri using locally sourced corn, 360 Vodka is ""eco-friendly"" and gluten free. Their bottle is made from recycled glass, recycled paper, and printed using eco-friendly ink. Bottled at 40% ABV.","{""grain"":0,""earthy"":0,""spicy"":10,""herbal"":0,""oily"":15,""chemical"":39,""rich"":15,""sweet"":85,""mineral"":0,""neutral"":85,""harsh"":35,""bitter"":0,""fruity"":0,""floral"":15}","https://ip-distiller.imgix.net/images/spirits/c5dec040-5d36-0135-8811-5657afde1505/360_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
68,69,BEAUREGARD DIXIE SOUTHERN VODKA,4.13,,none,none,"https://ip-distiller.imgix.net/images/spirits/9f1f9b20-ce7b-0137-8a04-7a3afe5ac75b/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
69,70,EVERCLEAR,2.84,75.5,none,none,"https://ip-distiller.imgix.net/images/spirits/386a50f0-7299-0137-2bca-06af06d2bae4/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
70,71,BIG MACHINE VODKA,4.56,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/ac2e8970-5317-0137-5013-2a41c046831a/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
71,72,OSTOYA VODKA,3.88,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/7fbdc8e0-18e3-0137-8819-46b6ba36435a/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
72,73,BEDLAM VODKA,4.5,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/5bb01b60-e2cc-0136-c3d3-1e840dfb2d87/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
73,74,WOODY CREEK POTATO VODKA,4.72,40.0,"This farm-to-bottle vodka uses 100% potatoes which are grown on their family farm just outside Aspen, Colorado. The potatoes, after mashing and fermentation, are distilled in their custom Carl stills. Naturally gluten-free. Bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/c7d5aed0-9e76-0135-7bf3-12b9e776c81c/woody_creek_potato_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
74,75,DOUBLE CROSS VODKA,4.88,40.0,Double Cross is distilled from estate-grown winter wheat using spring water from the Tatra Mountains. It is filtered using a combination of old and new technologies including a diamond-dust filter. The striking bottle showcases Slovakian poetry quotes inscribed on the glass. Bottled at 40%.,none,"https://ip-distiller.imgix.net/images/spirits/1e55a250-77c2-0135-4263-72f5d37c75b1/doublecross_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
75,76,POPOV,2.5,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/518034b0-27a7-0137-318d-76b7e5be5e18/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
76,77,GALLANT,4.13,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/37672a40-f339-0136-4085-224675f0c5c2/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
77,78,BRECKENRIDGE VODKA,3.39,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/3a59d830-f1e4-0136-7c81-7e3c51069905/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
78,79,42 BELOW VODKA,4.07,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/c99cfc90-82ed-0136-fbe1-5ebef44e7335/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
79,80,OUTER SPACE VODKA,3.86,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/11f59fe0-438a-0136-c3ac-625f20237311/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
80,81,PRAVDA VODKA,3.96,40.0,Pravda is distilled from Polish rye. It is five-column distilled and then placed in a copper pot-still for its final distillation. Water from the springs of the Carpathian Mountains are used in its production and gently filtered. The vodka itself is filtered through charcoal made from French birchwood. Bottled at 40% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/1fdbea40-891a-0135-4105-7aaa98deef23/pravda_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
81,82,SEAGRAM'S EXTRA SMOOTH VODKA,2.0,40.0,Seagram's Extra Smooth vodka used American grains in its production. Bottled at 40% ABV.,"{""grain"":40,""earthy"":15,""spicy"":25,""herbal"":0,""oily"":30,""chemical"":10,""rich"":30,""sweet"":30,""mineral"":0,""neutral"":80,""harsh"":40,""bitter"":45,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/1cb9f5e0-88fd-0135-ddc2-0ac938548f10/seagrams_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
82,83,U'LUVKA VODKA,4.71,40.0,"U'luvka is a Polish vodka distilled from wheat, rye, barley, and oats grown in the Wielkopolska region of Poland. The bottle design is ""inspired by ancient alchemist distillation vessels"". Some bottles are sold with two drinking vessels which have no base, a gentle suggestion to never put your glass down.",none,"https://ip-distiller.imgix.net/images/spirits/48cd8bb0-8852-0135-e319-028f4ecfff0c/u-luvka_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
83,84,CARDINAL SPIRITS VODKA,4.43,40.0,"This Midwestern spirit is crafted from 100% white wine grapes in Bloomington Indiana. Distilled to 190.5 proof, the goal is to maintain some of the grapes’ inherent flavor. Charcoal-filtration is employed to remove any unwanted flavors.","{""grain"":0,""earthy"":65,""spicy"":30,""herbal"":5,""oily"":0,""chemical"":0,""rich"":75,""sweet"":60,""mineral"":5,""neutral"":65,""harsh"":0,""bitter"":10,""fruity"":65,""floral"":15}","https://ip-distiller.imgix.net/images/spirits/b3a9bea0-883e-0135-bed2-0e6cfe74208a/cardinal_spirits_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
84,85,JEWEL OF RUSSIA CLASSIC,4.89,40.0,This vodka is made from a mix of winter wheat and rye. The water used in its production is sourced from wells over 300-feet deep. Charcoal filtered and bottled at 40% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/997952e0-82f7-0135-b0c7-6654d75178dd/jewel_of_russia_classi_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
85,86,STOLICHNAYA GLUTEN FREE,1.67,40.0,"Released in 2016, this vodka from Stoli is made from corn (88%) and buckwheat (12%). Distilled in Russia and bottled and brought to proof in Riga, Latvia.","{""grain"":65,""earthy"":35,""spicy"":35,""herbal"":15,""oily"":25,""chemical"":0,""rich"":45,""sweet"":35,""mineral"":10,""neutral"":85,""harsh"":0,""bitter"":20,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/c07aa620-5d30-0135-dc88-4a5b1c9c27d6/stolichnaya_gluten_free_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
86,87,REHORST VODKA,4.46,40.0,"Great Lakes Distillery, founded by Guy Rehorst, is located in Milwaukee, Wisconsin. Spirits are hand made in small batches using traditional methods and local ingredients. Rehorst Vodka has a mash of Wisconsin grown red wheat and red wheat malt. Only the middle cut is used and bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/1e82c5d0-e4dc-0134-e151-36b427100ac9/rehorst_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
87,88,BIALY BOCIAN,3.75,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/f37cae20-3cbe-0139-1171-2ed3b35a45d0/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
88,89,AIREM ORGANIC ULTRA PREMIUM,5.0,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/d184a850-82e7-0138-81c8-1267b841f93f/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
